CustomerID,TotalQuantity,TotalSpending,Country,TransactionCount
12600,774,2599.04,Germany,64
12601,245,577.06,Germany,28
12602,162,153.12,France,12
12603,64,739.20,Germany,3
12604,201,254.18,France,16
12607,1228,1579.51,USA,101
12609,648,1126.85,Germany,60
12610,1049,2099.54,Italy,106
12611,846,1193.32,Italy,65
12612,262,704.04,Germany,19
12613,1644,3344.38,Germany,153
12614,76,315.60,Germany,20
12615,1376,2291.19,France,105
12616,284,713.30,France,32
12617,213,355.53,France,42
12618,96,177.31,Italy,11
12619,3378,3641.24,Germany,90
12620,1181,1339.41,France,92
12621,7440,13689.67,Germany,467
12622,69,180.10,Germany,11
12623,191,305.10,Germany,18
12624,355,641.13,France,38
12625,1612,2683.82,Germany,86
12626,3453,6620.48,Germany,294
12627,2752,4478.53,Germany,230
12628,448,786.46,Germany,41
12630,548,1270.88,Finland,64
12631,236,640.50,Finland,31
12633,1162,2163.98,Germany,101
12635,1172,1689.18,Germany,101
12637,3002,6021.90,France,390
12638,577,671.69,Sweden,39
12639,201,486.10,Sweden,22
12640,311,1174.58,France,53
12641,72,185.90,Sweden,10
12642,552,1013.26,Germany,47
12643,1808,3344.64,France,24
12644,325,477.91,Germany,31
12645,1084,1775.18,Germany,73
12646,897,1346.97,USA,45
12647,1432,3722.82,Germany,122
12648,160,318.05,Germany,21
12649,586,623.51,Germany,31
12650,254,314.44,France,20
12651,78,114.00,France,9
12652,505,919.98,France,48
12653,919,2209.85,Israel,43
12654,264,601.98,Germany,38
12656,1723,4051.17,France,126
12657,1044,1643.18,France,47
12658,320,686.05,Germany,36
12659,105,91.68,France,5
12660,127,245.10,France,13
12662,2058,3849.78,Germany,230
12664,1203,4881.88,Finland,37
12665,37,63.00,Germany,3
12667,395,620.13,Finland,33
12668,1634,3807.15,Germany,161
12669,1115,2744.03,France,101
12670,1397,2996.05,France,92
12672,78,225.90,France,10
12673,351,610.52,Germany,42
12674,1133,1970.60,France,83
12676,670,1331.39,Sweden,45
12678,10923,17628.46,France,165
12679,554,1113.02,France,48
12680,443,862.81,France,52
12681,7536,13787.54,France,638
12682,5575,12288.22,France,525
12683,4987,8476.57,France,344
12684,1985,2283.63,France,105
12685,1523,2863.08,France,157
12686,107,89.14,France,7
12688,3028,4873.81,Israel,171
12689,628,1247.61,France,72
12690,106,389.01,France,16
12691,394,1035.80,France,32
12693,255,855.91,Germany,39
12694,509,869.67,France,37
12695,220,582.10,France,27
12697,508,957.59,Sweden,41
12700,2967,4939.99,France,268
12701,678,797.71,Germany,53
12702,53,219.00,Germany,12
12703,164,283.55,Germany,21
12704,1006,2340.84,Finland,88
12705,3997,6868.29,Germany,334
12707,256,603.42,France,33
12708,1307,2712.91,Germany,157
12709,3936,9736.52,Germany,208
12710,851,1149.02,Germany,77
12712,1062,4396.13,Germany,133
12713,508,848.55,Germany,38
12714,3069,4708.86,France,259
12715,197,353.86,Sweden,21
12716,708,1053.49,France,69
12717,506,1030.98,Greece,55
12718,203,238.25,France,19
12719,374,644.95,France,39
12720,4672,5781.73,Germany,354
12721,1959,2656.13,France,161
12722,566,997.63,France,53
12723,434,725.07,France,69
12724,445,1031.41,France,53
12725,164,427.80,Italy,24
12726,3143,2609.10,France,124
12727,2098,3980.70,France,139
12728,419,836.33,France,46
12729,233,453.01,France,26
12731,8437,18895.91,France,274
12732,111,236.26,France,12
12733,137,383.95,USA,22
12734,88,110.40,France,4
12735,368,779.57,France,43
12736,173,234.00,France,4
12738,148,155.35,Germany,11
12739,486,1013.04,United Arab Emirates,38
12740,342,427.60,France,27
12743,319,546.43,Unspecified,134
12744,5241,21279.29,Singapore,222
12747,1275,4196.01,United Kingdom,103
12748,25748,33719.73,United Kingdom,4596
12749,1471,4090.88,United Kingdom,199
12750,137,275.88,Poland,15
12752,2262,4366.78,Norway,53
12753,11421,21429.39,Japan,197
12754,6481,3010.74,Japan,63
12755,1491,3811.95,Japan,4
12756,144,112.08,Japan,4
12757,2402,7857.10,Portugal,371
12758,2135,2791.59,Portugal,97
12759,902,1531.44,Netherlands,95
12762,1227,1898.52,Portugal,69
12763,316,494.08,Japan,18
12764,386,1693.88,Lebanon,45
12766,3646,6989.63,Portugal,310
12769,356,1143.60,Brazil,32
12770,743,1351.45,Japan,12
12772,556,892.47,Portugal,55
12775,877,1386.04,Netherlands,66
12778,825,822.23,Netherlands,50
12779,2024,3981.36,Poland,149
12781,671,826.74,Czech Republic,25
12782,1086,2330.92,Portugal,103
12783,624,2225.91,Portugal,84
12784,300,574.42,Portugal,59
12785,131,311.95,Portugal,14
12787,261,463.66,Netherlands,20
12789,4,91.85,Netherlands,4
12790,166,324.92,Netherlands,21
12791,97,192.60,Netherlands,2
12792,217,400.54,Portugal,25
12793,295,545.48,Portugal,24
12794,592,860.41,Portugal,45
12795,68,430.48,Portugal,14
12797,118,254.03,Portugal,13
12798,5256,6977.04,Japan,8
12802,314,427.58,Netherlands,25
12808,188,483.65,Portugal,28
12809,220,489.31,Portugal,25
12811,230,514.85,Portugal,31
12812,164,229.64,Japan,15
12814,49,125.92,Poland,2
12815,379,1063.46,Poland,47
12816,128,572.20,Poland,29
12817,53,166.04,Austria,4
12818,929,1542.08,Austria,14
12820,722,942.34,United Kingdom,59
12821,70,92.72,United Kingdom,6
12822,550,948.88,United Kingdom,46
12823,230,1759.50,United Kingdom,5
12824,232,397.12,United Kingdom,25
12826,1058,1474.72,United Kingdom,91
12827,197,430.15,United Kingdom,25
12828,494,1018.71,United Kingdom,56
12829,376,293.00,United Kingdom,11
12830,9848,6814.64,United Kingdom,38
12831,135,215.05,United Kingdom,9
12832,195,383.03,United Kingdom,27
12833,156,417.38,United Kingdom,24
12834,110,312.38,United Kingdom,18
12836,1064,2612.86,United Kingdom,175
12837,24,134.10,United Kingdom,12
12838,359,683.13,United Kingdom,123
12839,3807,5591.42,United Kingdom,314
12840,1511,2726.77,United Kingdom,113
12841,2757,4022.35,United Kingdom,420
12842,547,1118.99,United Kingdom,34
12843,781,1702.26,United Kingdom,103
12844,125,325.96,United Kingdom,52
12845,204,354.09,United Kingdom,27
12847,909,871.54,United Kingdom,91
12849,623,1050.89,United Kingdom,51
12851,109,135.18,United Kingdom,50
12852,149,311.55,United Kingdom,17
12853,800,1957.10,United Kingdom,78
12854,627,1324.50,United Kingdom,110
12855,30,38.10,United Kingdom,3
12856,1079,2179.93,United Kingdom,314
12857,343,1106.40,United Kingdom,46
12863,188,521.20,United Kingdom,5
12864,216,147.12,United Kingdom,3
12865,925,1568.23,Austria,95
12866,171,559.12,Belgium,26
12867,4298,4036.82,United Kingdom,538
12868,928,1607.06,United Kingdom,107
12871,200,380.64,United Kingdom,11
12872,319,599.97,United Kingdom,66
12873,128,374.00,United Kingdom,4
12875,2019,343.23,United Kingdom,2
12876,1941,2218.02,Belgium,85
12877,1178,1535.77,United Kingdom,154
12878,547,854.99,United Kingdom,47
12879,370,573.22,United Kingdom,10
12881,21,298.00,United Kingdom,7
12882,246,1463.04,United Kingdom,13
12883,196,703.47,United Kingdom,42
12884,43,309.05,United Kingdom,7
12885,655,1175.22,United Kingdom,71
12886,770,1378.40,United Kingdom,82
12888,76,354.12,United Kingdom,5
12890,259,380.47,United Kingdom,82
12891,950,331.00,United Kingdom,3
12893,96,188.14,United Kingdom,34
12895,210,372.80,United Kingdom,22
12897,110,216.50,United Kingdom,4
12901,23075,17654.54,United Kingdom,116
12902,66,138.68,United Kingdom,10
12904,302,509.58,United Kingdom,72
12906,1749,2919.81,United Kingdom,63
12908,1200,750.00,United Kingdom,2
12909,1280,2178.67,United Kingdom,91
12910,1692,3075.04,United Kingdom,75
12912,670,1662.30,United Kingdom,24
12913,1419,2483.63,United Kingdom,50
12915,93,363.65,United Kingdom,22
12916,1119,3006.15,United Kingdom,107
12917,120,594.00,United Kingdom,2
12919,673,1335.19,United Kingdom,50
12920,129,164.23,United Kingdom,28
12921,9526,16587.09,United Kingdom,720
12922,370,405.38,United Kingdom,28
12923,69,176.97,United Kingdom,29
12924,481,933.70,United Kingdom,30
12925,541,694.05,United Kingdom,45
12928,1472,2062.70,United Kingdom,84
12929,37,117.85,United Kingdom,8
12930,252,415.80,United Kingdom,25
12931,28004,42055.96,United Kingdom,82
12933,499,607.53,United Kingdom,106
12935,1853,2160.70,United Kingdom,129
12936,559,1063.90,United Kingdom,62
12937,1007,1504.27,United Kingdom,120
12938,140,114.14,United Kingdom,9
12939,4876,11581.80,United Kingdom,47
12940,411,913.54,United Kingdom,99
12942,203,683.90,United Kingdom,75
12944,289,604.51,United Kingdom,30
12945,165,462.95,United Kingdom,23
12947,1165,1603.99,United Kingdom,97
12948,1080,2064.95,United Kingdom,116
12949,2381,4167.22,United Kingdom,215
12950,1380,1843.00,United Kingdom,23
12951,503,1064.07,United Kingdom,63
12952,653,1387.79,United Kingdom,79
12953,84,329.85,United Kingdom,17
12955,3664,4757.16,United Kingdom,180
12956,34,108.07,United Kingdom,19
12957,2549,4017.54,United Kingdom,238
12962,129,266.39,United Kingdom,16
12963,881,1856.63,United Kingdom,95
12965,283,771.91,United Kingdom,109
12966,75,160.18,United Kingdom,10
12967,438,1660.90,United Kingdom,19
12968,73,135.95,United Kingdom,5
12970,310,452.24,United Kingdom,151
12971,9289,11189.91,United Kingdom,305
12974,24,144.80,United Kingdom,8
12976,561,738.60,United Kingdom,22
12977,12,39.24,United Kingdom,9
12980,886,7374.90,United Kingdom,20
12981,242,372.22,United Kingdom,20
12982,288,390.54,United Kingdom,28
12984,26,97.50,United Kingdom,4
12985,1533,1239.38,United Kingdom,76
12987,219,558.70,United Kingdom,28
12988,136,535.32,United Kingdom,92
12989,2943,6924.11,United Kingdom,64
12990,200,409.50,United Kingdom,13
12991,405,503.76,United Kingdom,31
12993,240,414.76,United Kingdom,27
12994,459,974.42,United Kingdom,61
12995,108,211.32,United Kingdom,3
12997,664,1226.89,United Kingdom,59
12999,342,455.88,United Kingdom,28
13000,379,534.85,United Kingdom,31
13001,5505,9818.82,United Kingdom,339
13002,73,120.95,United Kingdom,7
13003,103,149.05,United Kingdom,6
13004,4822,5655.91,United Kingdom,404
13005,172,513.70,United Kingdom,26
13006,55,81.57,United Kingdom,4
13008,175,229.47,United Kingdom,14
13011,13,50.55,United Kingdom,3
13012,824,1661.84,United Kingdom,89
13013,2224,4810.94,United Kingdom,219
13014,907,3466.28,United Kingdom,110
13015,1617,3346.28,United Kingdom,176
13016,527,789.89,United Kingdom,47
13017,48,204.00,United Kingdom,1
13018,5435,7277.70,United Kingdom,458
13021,1352,2616.38,United Kingdom,131
13023,286,689.90,United Kingdom,40
13026,1620,975.36,United Kingdom,40
13027,17280,6912.00,United Kingdom,26
13028,798,661.32,United Kingdom,45
13029,134,1247.50,United Kingdom,10
13030,394,799.48,United Kingdom,99
13032,375,1010.18,United Kingdom,71
13033,83,190.55,United Kingdom,11
13034,369,642.77,United Kingdom,37
13035,644,921.88,United Kingdom,27
13037,431,881.07,United Kingdom,48
13038,360,908.46,United Kingdom,28
13040,355,676.99,United Kingdom,43
13043,254,516.42,United Kingdom,13
13044,429,560.47,United Kingdom,33
13045,221,305.28,United Kingdom,18
13046,264,629.31,United Kingdom,35
13047,1391,3237.54,United Kingdom,172
13048,1238,1835.91,United Kingdom,136
13049,268,656.68,United Kingdom,14
13050,3748,5836.86,United Kingdom,403
13052,222,348.15,United Kingdom,18
13055,894,1214.41,United Kingdom,76
13058,52,271.40,United Kingdom,8
13059,35,183.40,United Kingdom,8
13060,123,307.53,United Kingdom,15
13061,107,248.61,United Kingdom,10
13062,343,346.98,United Kingdom,11
13064,516,1119.49,United Kingdom,69
13065,74,205.86,United Kingdom,14
13066,322,470.80,United Kingdom,48
13067,32,115.46,United Kingdom,15
13068,200,344.00,United Kingdom,2
13069,5885,4436.12,United Kingdom,425
13070,110,228.80,United Kingdom,9
13072,69,177.15,United Kingdom,7
13075,485,919.61,United Kingdom,22
13077,863,729.27,United Kingdom,112
13078,5630,12627.94,United Kingdom,358
13079,62,220.10,United Kingdom,6
13080,120,58.08,United Kingdom,6
13081,19160,28337.38,United Kingdom,1028
13082,4324,3613.63,United Kingdom,73
13083,187,303.75,United Kingdom,18
13085,216,416.08,United Kingdom,22
13089,31070,58825.83,United Kingdom,1818
13090,2263,8910.82,United Kingdom,155
13091,466,345.82,United Kingdom,21
13092,279,477.83,United Kingdom,25
13093,3961,7832.47,United Kingdom,159
13094,1716,1927.32,United Kingdom,24
13095,144,74.40,United Kingdom,6
13097,2363,6010.42,United Kingdom,423
13098,15968,28882.44,United Kingdom,572
13099,288,207.36,United Kingdom,1
13101,113,101.19,United Kingdom,8
13102,4204,6424.09,United Kingdom,304
13103,82,243.94,United Kingdom,8
13104,504,1098.48,United Kingdom,20
13106,18,76.50,United Kingdom,1
13107,1293,1531.62,United Kingdom,58
13108,298,350.06,United Kingdom,10
13109,520,786.54,United Kingdom,47
13110,388,1488.67,United Kingdom,145
13113,3050,12245.96,United Kingdom,201
13115,1567,2294.78,United Kingdom,120
13116,291,501.14,United Kingdom,30
13117,945,984.91,United Kingdom,76
13118,410,1197.81,United Kingdom,79
13120,12,30.60,United Kingdom,1
13121,252,283.73,United Kingdom,50
13122,585,922.39,United Kingdom,55
13124,2147,3866.33,United Kingdom,235
13126,2143,2099.64,United Kingdom,140
13127,127,259.17,United Kingdom,15
13130,32,64.00,United Kingdom,2
13131,447,1073.30,United Kingdom,44
13132,20,77.30,United Kingdom,3
13133,32,109.80,United Kingdom,7
13134,1059,1793.58,United Kingdom,98
13135,4300,3096.00,United Kingdom,1
13136,1328,2607.61,United Kingdom,127
13137,2226,3650.41,United Kingdom,704
13138,473,962.39,United Kingdom,63
13139,2425,5064.94,United Kingdom,170
13140,186,423.72,United Kingdom,46
13141,1548,2388.75,United Kingdom,135
13142,258,307.09,United Kingdom,23
13144,21,110.95,United Kingdom,3
13145,145,618.52,United Kingdom,6
13146,154,228.91,United Kingdom,17
13147,144,712.80,United Kingdom,4
13148,1975,3707.12,United Kingdom,319
13149,1280,1676.06,United Kingdom,86
13151,363,1257.87,United Kingdom,74
13153,418,486.22,United Kingdom,15
13155,497,971.76,United Kingdom,85
13157,1439,1741.22,United Kingdom,87
13158,784,1201.06,United Kingdom,79
13159,1059,1437.85,United Kingdom,121
13160,56,91.80,United Kingdom,4
13161,29,112.75,United Kingdom,8
13162,1713,1688.29,United Kingdom,79
13165,1376,1021.48,United Kingdom,42
13166,216,417.20,United Kingdom,41
13167,785,791.33,United Kingdom,65
13168,682,1319.19,United Kingdom,131
13169,272,712.88,United Kingdom,13
13170,147,116.01,United Kingdom,32
13171,229,468.41,United Kingdom,46
13173,277,353.65,United Kingdom,43
13174,1395,2817.03,United Kingdom,314
13176,453,492.84,United Kingdom,72
13177,91,282.45,United Kingdom,17
13178,3570,5725.47,United Kingdom,265
13182,201,121.18,United Kingdom,11
13183,2208,3957.78,United Kingdom,94
13184,1692,1701.29,United Kingdom,181
13185,12,71.40,United Kingdom,1
13186,820,1575.89,United Kingdom,79
13187,95,236.02,United Kingdom,37
13188,25,114.60,United Kingdom,2
13189,842,260.68,United Kingdom,29
13192,595,911.94,United Kingdom,63
13193,50,117.88,United Kingdom,29
13194,26,60.70,United Kingdom,3
13196,1224,1797.78,United Kingdom,110
13198,2648,3401.24,United Kingdom,226
13199,6176,9817.12,United Kingdom,119
13200,516,870.09,United Kingdom,46
13203,800,869.46,United Kingdom,57
13207,130,250.26,United Kingdom,8
13208,804,1223.90,United Kingdom,149
13209,4253,5891.61,United Kingdom,321
13210,316,353.48,United Kingdom,22
13211,874,1197.42,United Kingdom,56
13212,310,788.08,United Kingdom,142
13213,1360,1520.58,United Kingdom,90
13216,297,333.74,United Kingdom,5
13217,262,533.98,United Kingdom,4
13218,88,62.64,United Kingdom,5
13220,196,819.29,United Kingdom,21
13221,244,847.41,United Kingdom,66
13223,88,163.20,United Kingdom,5
13224,1518,2155.95,United Kingdom,108
13225,3416,6463.84,United Kingdom,32
13226,80,108.21,United Kingdom,16
13227,99,257.70,United Kingdom,9
13228,200,358.00,United Kingdom,2
13229,63,160.95,United Kingdom,10
13230,1665,2806.97,United Kingdom,611
13232,778,1357.60,United Kingdom,207
13233,1004,605.12,United Kingdom,43
13235,441,1031.07,United Kingdom,58
13236,416,744.85,United Kingdom,36
13238,298,700.73,United Kingdom,31
13239,363,329.56,United Kingdom,22
13240,298,663.65,United Kingdom,67
13242,130,270.40,United Kingdom,13
13243,233,600.07,United Kingdom,58
13244,38,121.74,United Kingdom,27
13245,125,430.50,United Kingdom,16
13246,1602,1987.30,United Kingdom,141
13247,328,501.12,United Kingdom,25
13248,305,465.68,United Kingdom,26
13249,546,711.41,United Kingdom,23
13253,1572,1030.40,United Kingdom,36
13255,177,399.51,United Kingdom,13
13256,12540,0.00,United Kingdom,1
13258,287,698.58,United Kingdom,38
13259,132,292.32,United Kingdom,87
13260,142,557.62,United Kingdom,8
13261,210,944.10,United Kingdom,9
13262,125,200.29,United Kingdom,11
13263,4780,7454.07,United Kingdom,1677
13265,1752,2107.66,United Kingdom,91
13266,4428,3834.26,United Kingdom,187
13267,1969,4521.49,United Kingdom,211
13268,3658,3214.69,United Kingdom,440
13269,3514,5346.23,United Kingdom,316
13270,200,590.00,United Kingdom,1
13271,253,217.38,United Kingdom,96
13272,96,276.56,United Kingdom,15
13273,153,138.98,United Kingdom,16
13276,161,590.93,United Kingdom,30
13277,176,258.40,United Kingdom,8
13278,537,542.73,United Kingdom,46
13279,73,137.75,United Kingdom,9
13280,522,814.86,United Kingdom,85
13282,307,1132.14,United Kingdom,37
13283,90,93.66,United Kingdom,7
13284,91,201.19,United Kingdom,13
13285,2051,2709.12,United Kingdom,187
13291,233,361.11,United Kingdom,42
13292,347,578.94,United Kingdom,31
13294,453,873.74,United Kingdom,54
13295,82,201.20,United Kingdom,10
13296,78,87.40,United Kingdom,5
13297,963,2089.85,United Kingdom,59
13298,96,360.00,United Kingdom,2
13299,30,142.50,United Kingdom,5
13300,203,371.89,United Kingdom,20
13301,345,618.09,United Kingdom,81
13302,5,63.75,United Kingdom,1
13304,238,300.42,United Kingdom,21
13305,1232,2000.86,United Kingdom,81
13307,4,15.00,United Kingdom,1
13308,843,1385.51,United Kingdom,54
13309,1544,1456.79,United Kingdom,107
13310,587,1132.03,United Kingdom,72
13311,305,598.57,United Kingdom,26
13313,851,1555.32,United Kingdom,78
13314,560,775.94,United Kingdom,62
13316,6948,5977.73,United Kingdom,87
13317,1035,2273.68,United Kingdom,124
13318,304,640.76,United Kingdom,20
13319,4724,10845.55,United Kingdom,476
13320,1096,1548.70,United Kingdom,106
13321,372,567.36,United Kingdom,11
13322,117,199.48,United Kingdom,25
13323,175,787.85,United Kingdom,21
13324,5205,7121.95,United Kingdom,75
13325,240,675.30,United Kingdom,12
13327,1600,3627.77,United Kingdom,108
13328,680,1308.48,United Kingdom,17
13329,463,789.00,United Kingdom,17
13330,751,1140.93,United Kingdom,53
13332,179,350.90,United Kingdom,21
13334,1774,3536.82,United Kingdom,268
13336,559,795.12,United Kingdom,51
13338,256,487.02,United Kingdom,19
13339,326,860.12,United Kingdom,54
13340,5770,10736.48,United Kingdom,134
13341,301,775.85,United Kingdom,42
13343,135,353.43,United Kingdom,19
13344,971,2543.72,United Kingdom,119
13345,141,389.50,United Kingdom,20
13347,205,341.36,United Kingdom,8
13348,136,233.76,United Kingdom,14
13349,225,247.32,United Kingdom,16
13350,287,979.12,United Kingdom,40
13351,117,373.94,United Kingdom,16
13352,321,397.98,United Kingdom,24
13354,604,743.53,United Kingdom,51
13355,314,674.70,United Kingdom,32
13356,325,768.24,United Kingdom,42
13357,322,609.95,United Kingdom,90
13358,285,439.03,United Kingdom,29
13359,161,439.56,United Kingdom,23
13362,1382,3090.74,United Kingdom,166
13363,710,992.50,United Kingdom,60
13364,71,134.96,United Kingdom,10
13365,1247,2225.37,United Kingdom,128
13366,144,56.16,United Kingdom,1
13368,327,623.40,United Kingdom,29
13369,149,308.28,United Kingdom,14
13370,343,754.87,United Kingdom,39
13372,159,378.64,United Kingdom,23
13373,1651,3312.25,United Kingdom,158
13375,442,778.65,United Kingdom,37
13376,493,1019.76,United Kingdom,53
13379,601,572.56,United Kingdom,97
13381,2029,3639.31,United Kingdom,172
13382,131,222.99,United Kingdom,15
13384,2422,4151.93,United Kingdom,152
13385,281,534.57,United Kingdom,35
13388,282,677.10,United Kingdom,35
13389,429,797.96,United Kingdom,51
13390,224,544.08,United Kingdom,13
13391,4,59.80,United Kingdom,1
13394,2392,2520.02,United Kingdom,155
13395,336,307.72,United Kingdom,21
13396,600,1360.99,United Kingdom,43
13397,430,1544.13,United Kingdom,38
13398,281,457.34,United Kingdom,26
13402,479,621.23,United Kingdom,39
13403,44,75.00,United Kingdom,3
13404,111,252.49,United Kingdom,11
13405,165,572.45,United Kingdom,27
13408,16232,28117.04,United Kingdom,478
13410,518,1003.06,United Kingdom,28
13411,72,213.55,United Kingdom,18
13414,1574,1390.50,United Kingdom,24
13416,142,712.50,United Kingdom,19
13417,162,640.83,United Kingdom,28
13418,3918,6127.43,United Kingdom,304
13419,275,221.06,United Kingdom,16
